drug,Species,mic,n,prop_tested,nmodes
Amphotericin B,Candida nivariensis,0.5,5,0.5,2
Amphotericin B,Candida nivariensis,1,5,0.5,2
Caspofungin,Magnusiomyces capitatus,8,5,0.2777777777777778,2
Caspofungin,Magnusiomyces capitatus,16,5,0.2777777777777778,2
Fluconazole,Candida auris,32,5,0.2631578947368421,2
Fluconazole,Candida auris,128,5,0.2631578947368421,2
Flucytosine,Aspergillus versicolor species complex,32,1,0.5,2
Flucytosine,Aspergillus versicolor species complex,64,1,0.5,2
Flucytosine,Cryptococcus gattii species complex,1,2,0.4,2
Flucytosine,Cryptococcus gattii species complex,2,2,0.4,2
Flucytosine,Paecilomyces variotii,0.5,1,0.5,2
Flucytosine,Paecilomyces variotii,1,1,0.5,2
Isavuconazole,Aspergillus versicolor species complex,0.5,3,0.375,2
Isavuconazole,Aspergillus versicolor species complex,1,3,0.375,2
Isavuconazole,Candida inconspicua,0.12,3,0.3333333333333333,2
Isavuconazole,Candida inconspicua,0.25,3,0.3333333333333333,2
Isavuconazole,Exophiala dermatitidis,0.5,3,0.375,2
Isavuconazole,Exophiala dermatitidis,1,3,0.375,2
Isavuconazole,Geotrichum clavatum,0.25,7,0.3888888888888889,2
Isavuconazole,Geotrichum clavatum,0.5,7,0.3888888888888889,2
Isavuconazole,Magnusiomyces capitatus,0.06,1,0.25,4
Isavuconazole,Magnusiomyces capitatus,0.12,1,0.25,4
Isavuconazole,Magnusiomyces capitatus,0.25,1,0.25,4
Isavuconazole,Magnusiomyces capitatus,0.5,1,0.25,4
Isavuconazole,Paecilomyces variotii,2,3,0.3333333333333333,3
Isavuconazole,Paecilomyces variotii,8,3,0.3333333333333333,3
Isavuconazole,Paecilomyces variotii,16,3,0.3333333333333333,3
Isavuconazole,Scedosporium aurantiacum,8,3,0.42857142857142855,2
Isavuconazole,Scedosporium aurantiacum,16,3,0.42857142857142855,2
Itraconazole,Candida auris,0.25,6,0.3333333333333333,2
Itraconazole,Candida auris,1,6,0.3333333333333333,2
Itraconazole,Candida inconspicua,0.25,5,0.4166666666666667,2
Itraconazole,Candida inconspicua,0.5,5,0.4166666666666667,2
Itraconazole,Candida nivariensis,0.25,3,0.375,2
Itraconazole,Candida nivariensis,0.5,3,0.375,2
Micafungin,Candida auris,0.12,9,0.47368421052631576,2
Micafungin,Candida auris,0.25,9,0.47368421052631576,2
Micafungin,Magnusiomyces capitatus,8,4,0.2222222222222222,2
Micafungin,Magnusiomyces capitatus,16,4,0.2222222222222222,2
Micafungin,Paecilomyces variotii,0.004,5,0.45454545454545453,2
Micafungin,Paecilomyces variotii,0.008,5,0.45454545454545453,2
Posaconazole,Candida haemulonii,0.06,5,0.3333333333333333,2
Posaconazole,Candida haemulonii,0.12,5,0.3333333333333333,2
Posaconazole,Saccharomyces cerevisiae,0.25,23,0.3194444444444444,2
Posaconazole,Saccharomyces cerevisiae,0.5,23,0.3194444444444444,2
Voriconazole,Aspergillus versicolor species complex,0.5,4,0.3076923076923077,2
Voriconazole,Aspergillus versicolor species complex,1,4,0.3076923076923077,2
Voriconazole,Candida auris,0.25,7,0.3684210526315789,2
Voriconazole,Candida auris,1,7,0.3684210526315789,2
Voriconazole,Candida haemulonii,0.06,4,0.26666666666666666,2
Voriconazole,Candida haemulonii,0.12,4,0.26666666666666666,2
Voriconazole,Candida inconspicua,0.12,8,0.4,2
Voriconazole,Candida inconspicua,0.25,8,0.4,2
Voriconazole,Candida lipolytica,0.015,4,0.26666666666666666,2
Voriconazole,Candida lipolytica,0.03,4,0.26666666666666666,2
Voriconazole,Paecilomyces variotii,2,4,0.36363636363636365,2
Voriconazole,Paecilomyces variotii,4,4,0.36363636363636365,2
